STATE,IBGE_RES_POP,IBGE_RES_POP_BRAS,IBGE_DU,IBGE_DU_URBAN,IBGE_DU_RURAL,IBGE_POP,IBGE_1,IBGE_1-4,IBGE_5-9,IBGE_10-14,IBGE_15-59,IBGE_60+,IBGE_PLANTED_AREA,IBGE_CROP_PRODUCTION_$,IDHM,LONG,LAT,ALT,PAY_TV,FIXED_PHONES,AREA,CATEGORIA_TUR,ESTIMATED_POP,RURAL_URBAN,GVA_AGROPEC,GVA_INDUSTRY,GVA_SERVICES,GVA_PUBLIC,GVA_TOTAL,TAXES,GDP,POP_GDP,GDP_CAPITA,GVA_MAIN,COMP_TOT,COMP_A,COMP_B,COMP_C,COMP_E,COMP_F,COMP_G,COMP_H,COMP_I,COMP_L,COMP_M,COMP_N,COMP_O,COMP_P,COMP_Q,COMP_R,COMP_S,HOTELS,BEDS,Pr_Agencies,Pu_Agencies,Pr_Bank,Pu_Bank,Cars,Motorcycles,Wheeled_tractor,UBER,MAC,WAL-MART,POST_OFFICES
16,5098,5098,1536,1100,436,3594,46,198,265,379,2100,606,2442,6319,0.599,-42.6592,-5.7955,260.4377,145,77,112.392,0,5148,3,1981,1454,6406,18108,27949,1571,29519,5069,5824.0,1,39,0,0,1,0,3,22,0,0,0,0,0,2,1,1,0,9,0,0,0,0,0,0,282,1185,0,0,0,0,1
10,2709,2706,875,364,511,1099,13,40,69,98,716,163,15,28,0.649,-44.6381,-22.1711,1115.5199,162,92,161.356,5,2683,3,5039,1801,8576,14932,30348,1088,31436,2756,11406.0,1,35,2,0,4,0,0,19,3,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,479,332,0,0,0,0,1
14,5239,5239,1567,639,928,2062,40,132,162,197,1294,237,516,47,0.578,-36.0606,-7.7415,518.6663,32,65,305.988,0,5473,3,3994,1383,6694,25987,38057,900,38957,5475,7115.0,1,37,1,0,5,0,0,16,1,0,0,0,1,2,6,1,0,3,0,0,0,0,0,0,297,274,0,0,0,0,1
14,2366,2366,676,353,323,1231,22,113,119,128,714,135,255,170,0.548,-36.0061,-6.9047,444.7022,72,17,220.248,0,2488,3,1417,675,4344,16145,22580,574,23154,2488,9306.0,1,18,0,0,1,0,0,3,0,0,0,0,1,2,1,0,0,10,0,0,0,0,0,0,198,104,0,0,0,0,1
9,11063,11063,2632,1118,1515,3154,31,204,316,399,1872,332,2045,4230,0.549,-45.4647,-4.1623,55.1921,302,44,524.373,0,8066,3,16154,2119,11951,30369,60594,1600,62194,10210,6091.0,1,22,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,196,1008,0,0,0,0,1
10,4444,4436,1405,694,711,2109,30,110,161,183,1282,343,933,3774,0.592,-41.7264,-19.4145,393.105,49,162,278.173,5,3973,3,7622,1652,9204,18109,36588,997,37585,4245,8854.0,1,36,0,0,3,0,0,18,1,0,0,1,1,2,0,0,0,10,0,0,0,0,0,0,692,1066,0,0,0,0,1
9,6431,6431,1508,1143,365,4821,114,413,626,660,2645,363,1462,4356,0.52,-46.0092,-1.6809,59.4369,288,25,502.402,0,6918,3,8664,1705,15332,20463,46163,2489,48652,6844,7109.0,1,26,0,0,0,0,0,19,0,0,0,0,1,2,3,0,0,1,0,0,0,0,0,0,124,529,0,0,0,0,1
14,2088,2088,636,340,296,1062,17,99,92,94,641,119,660,141,0.606,-37.0648,-7.5672,622.126,6,18,121.984,0,2227,3,1276,1169,4315,14575,21335,643,21979,2229,9860.0,1,16,0,0,1,0,1,6,0,0,0,1,0,2,2,0,0,3,0,0,0,0,0,0,131,153,0,0,0,0,1
26,3175,3175,844,507,337,1934,30,128,193,200,1176,207,497,1466,0.648,-47.8621,-6.3878,270.8336,35,104,451.733,0,3417,3,16115,1111,4809,20988,43022,998,44021,3401,12943.0,1,40,1,0,0,0,5,25,2,0,0,2,0,2,1,0,0,2,0,0,0,0,0,0,139,385,0,0,0,0,1
14,1927,1927,488,267,221,1017,17,75,106,90,628,101,181,161,0.562,-36.9435,-7.1237,365.3387,3,4,112.089,0,2140,3,658,526,2733,12855,16771,343,17114,2137,8008.0,1,8,0,0,0,0,0,2,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,86,169,0,0,0,0,1
